,display_name,ISO code,Language,Relevant Countries,Country,# Speakers,is_in_seacrowd,population
266,Javanese (jav),jav,Javanese,Indonesia,Indonesia,84300000,True,<100M
267,Javindo (jvd),jvd,Javindo,Indonesia,Indonesia,100,False,<1K
268,Jofotek-Bromnya (jbr),jbr,Jofotek-Bromnya,Indonesia,Indonesia,200,True,<1K
269,Kabola (klz),klz,Kabola,Indonesia,Indonesia,3900,True,<10K
270,Kaburi (uka),uka,Kaburi,Indonesia,Indonesia,600,True,<1K
271,Kadai (kzd),kzd,Kadai,Indonesia,Indonesia,350,False,<1K
272,Kaera (jka),jka,Kaera,Indonesia,Indonesia,5500,True,<10K
273,Kafoa (kpu),kpu,Kafoa,Indonesia,Indonesia,1000,True,<10K
274,Kaibobo (kzb),kzb,Kaibobo,Indonesia,Indonesia,500,False,<1K
275,Kaidipang (kzp),kzp,Kaidipang,Indonesia,Indonesia,26600,True,<100K
276,Kaimbulawa (zka),zka,Kaimbulawa,Indonesia,Indonesia,2200,True,<10K
277,Kais (kzm),kzm,Kais,Indonesia,Indonesia,700,True,<1K
278,Kaiy (tcq),tcq,Kaiy,Indonesia,Indonesia,220,True,<1K
279,Kalabra (kzz),kzz,Kalabra,Indonesia,Indonesia,3290,True,<10K
280,Kalao (kly),kly,Kalao,Indonesia,Indonesia,500,True,<1K
281,Kalumpang (kli),kli,Kalumpang,Indonesia,Indonesia,20000,True,<100K
282,Kamang (woi),woi,Kamang,Indonesia,Indonesia,6000,True,<10K
283,Kamarian (kzx),kzx,Kamarian,Indonesia,Indonesia,10,False,<100
284,Kamaru (kgx),kgx,Kamaru,Indonesia,Indonesia,3500,True,<10K
285,Kambera (xbr),xbr,Kambera,Indonesia,Indonesia,240000,True,<1M
286,Kamberau (irx),irx,Kamberau,Indonesia,Indonesia,1570,True,<10K
287,Kamoro (kgq),kgq,Kamoro,Indonesia,Indonesia,8000,True,<10K
288,Kangean (kkv),kkv,Kangean,Indonesia,Indonesia,110000,True,<1M
289,Kao (kax),kax,Kao,Indonesia,Indonesia,400,False,<1K
290,Kapauri (khp),khp,Kapauri,Indonesia,Indonesia,200,True,<1K
291,Kaptiau (kbi),kbi,Kaptiau,Indonesia,Indonesia,230,True,<1K
292,Karas (kgv),kgv,Karas,Indonesia,Indonesia,240,True,<1K
293,Karey (kyd),kyd,Karey,Indonesia,Indonesia,610,False,<1K
294,Karon Dori (kgw),kgw,Karon Dori,Indonesia,Indonesia,5000,True,<10K
295,Kata Kolok (bqy),bqy,Kata Kolok,Indonesia,Indonesia,1125,False,<10K
296,Kaur (vkk),vkk,Kaur,Indonesia,Indonesia,40000,False,<100K
297,Kaure (bpp),bpp,Kaure,Indonesia,Indonesia,450,True,<1K
298,Kauwera (xau),xau,Kauwera,Indonesia,Indonesia,400,True,<1K
299,Kawe (kgb),kgb,Kawe,Indonesia,Indonesia,600,True,<1K
300,Kayagar (kyt),kyt,Kayagar,Indonesia,Indonesia,10000,True,<100K
301,Kayan Mahakam (xay),xay,Kayan Mahakam,Indonesia,Indonesia,1300,False,<10K
302,Kayan River Kayan (xkn),xkn,Kayan River Kayan,Indonesia,Indonesia,2000,False,<10K
303,Kayeli (kzl),kzl,Kayeli,Indonesia,Indonesia,1,True,<10
304,Kayupulau (kzu),kzu,Kayupulau,Indonesia,Indonesia,50,True,<100
305,Ke’o (xxk),xxk,Ke’o,Indonesia,Indonesia,40000,True,<100K
306,Kedang (ksx),ksx,Kedang,Indonesia,Indonesia,30000,True,<100K
307,Kehu (khh),khh,Kehu,Indonesia,Indonesia,200,True,<1K
308,Kei (kei),kei,Kei,Indonesia,Indonesia,85000,True,<100K
309,Keijar (kdy),kdy,Keijar,Indonesia,Indonesia,370,True,<1K
310,Kelabit (kzi),kzi,Kelabit,"Indonesia, Malaysia",Indonesia,4000,True,<10K
311,Kemberano (bzp),bzp,Kemberano,Indonesia,Indonesia,1500,True,<10K
312,Kembra (xkw),xkw,Kembra,Indonesia,Indonesia,20,True,<100
313,Kemtuik (kmt),kmt,Kemtuik,Indonesia,Indonesia,2500,True,<10K
314,Kendayan (knx),knx,Kendayan,"Indonesia, Malaysia",Indonesia,321000,True,<1M
315,Keninjal (knl),knl,Keninjal,Indonesia,Indonesia,32000,False,<100K
316,Kepo’ (kuk),kuk,Kepo’,Indonesia,Indonesia,6000,False,<10K
317,Kereho (xke),xke,Kereho,Indonesia,Indonesia,500,False,<1K
318,Kerinci (kvr),kvr,Kerinci,Indonesia,Indonesia,260000,True,<1M
319,Ketengban (xte),xte,Ketengban,Indonesia,Indonesia,9970,True,<10K
320,Ketum (ktt),ktt,Ketum,Indonesia,Indonesia,900,True,<1K
321,Kimaghima (kig),kig,Kimaghima,Indonesia,Indonesia,3000,True,<10K
322,Kimki (sbt),sbt,Kimki,Indonesia,Indonesia,500,True,<1K
323,Kioko (ues),ues,Kioko,Indonesia,Indonesia,1000,False,<10K
324,Kirikiri (kiy),kiy,Kirikiri,Indonesia,Indonesia,250,True,<1K
325,Kisar (kje),kje,Kisar,Indonesia,Indonesia,20000,True,<100K
326,Klon (kyo),kyo,Klon,Indonesia,Indonesia,5000,True,<10K
327,Koba (kpd),kpd,Koba,Indonesia,Indonesia,870,False,<1K
328,Kodeoha (vko),vko,Kodeoha,Indonesia,Indonesia,1500,True,<10K
329,Kodi (kod),kod,Kodi,Indonesia,Indonesia,20000,True,<100K
330,Kofei (kpi),kpi,Kofei,Indonesia,Indonesia,100,True,<1K
331,Kohin (kkx),kkx,Kohin,Indonesia,Indonesia,8000,False,<10K
332,Kokoda (xod),xod,Kokoda,Indonesia,Indonesia,3700,True,<10K
333,Kola (kvv),kvv,Kola,Indonesia,Indonesia,7400,True,<10K
334,Kombai (tyn),tyn,Kombai,Indonesia,Indonesia,4000,True,<10K
335,Komering (kge),kge,Komering,Indonesia,Indonesia,470000,True,<1M
336,Komodo (kvh),kvh,Komodo,Indonesia,Indonesia,1730,False,<10K
337,Kompane (kvp),kvp,Kompane,Indonesia,Indonesia,330,False,<1K
338,Komyandaret (kzv),kzv,Komyandaret,Indonesia,Indonesia,300,True,<1K
339,Konda (knd),knd,Konda,Indonesia,Indonesia,500,True,<1K
340,Koneq-koneq (cml),cml,Koneq-koneq,Indonesia,Indonesia,30000,True,<100K
341,Koneraw (kdw),kdw,Koneraw,Indonesia,Indonesia,1200,True,<10K
342,Kopkaka (opk),opk,Kopkaka,Indonesia,Indonesia,400,True,<1K
343,Koroni (xkq),xkq,Koroni,Indonesia,Indonesia,500,True,<1K
344,Korowai (khe),khe,Korowai,Indonesia,Indonesia,3500,True,<10K
345,Korupun-Sela (kpq),kpq,Korupun-Sela,Indonesia,Indonesia,8000,True,<10K
346,Kosare (kiq),kiq,Kosare,Indonesia,Indonesia,250,True,<1K
347,Kosarek Yale (kkl),kkl,Kosarek Yale,Indonesia,Indonesia,2300,True,<10K
348,Kota Bangun Kutai Malay (mqg),mqg,Kota Bangun Kutai Malay,Indonesia,Indonesia,80000,False,<100K
349,Kowiai (kwh),kwh,Kowiai,Indonesia,Indonesia,600,True,<1K
350,Kubu (kvb),kvb,Kubu,Indonesia,Indonesia,10000,True,<100K
351,Kui (kvd),kvd,Kui,Indonesia,Indonesia,4240,True,<10K
352,Kula (tpg),tpg,Kula,Indonesia,Indonesia,5000,True,<10K
353,Kulisusu (vkl),vkl,Kulisusu,Indonesia,Indonesia,22000,True,<100K
354,Kumbewaha (xks),xks,Kumbewaha,Indonesia,Indonesia,3400,True,<10K
355,Kupang Malay (mkn),mkn,Kupang Malay,Indonesia,Indonesia,350000,True,<1M
356,Kur (kuv),kuv,Kur,Indonesia,Indonesia,3180,True,<10K
357,Kuri (nbn),nbn,Kuri,Indonesia,Indonesia,500,True,<1K
358,Kurudu (kjr),kjr,Kurudu,Indonesia,Indonesia,2180,True,<10K
359,Kwer (kwr),kwr,Kwer,Indonesia,Indonesia,100,True,<1K
360,Kwerba (kwe),kwe,Kwerba,Indonesia,Indonesia,2500,True,<10K
361,Kwerba Mamberamo (xwr),xwr,Kwerba Mamberamo,Indonesia,Indonesia,300,True,<1K
362,Kwerisa (kkb),kkb,Kwerisa,Indonesia,Indonesia,15,True,<100
363,Kwesten (kwt),kwt,Kwesten,Indonesia,Indonesia,2000,True,<10K
364,Kwinsu (kuc),kuc,Kwinsu,Indonesia,Indonesia,500,True,<1K
365,Laba (lau),lau,Laba,Indonesia,Indonesia,2000,True,<10K
366,Laha (lhh),lhh,Laha,Indonesia,Indonesia,3890,False,<10K
367,Laiyolo (lji),lji,Laiyolo,Indonesia,Indonesia,800,True,<1K
368,Lamaholot (slp),slp,Lamaholot,Indonesia,Indonesia,180000,True,<1M
369,Lamalera (lmr),lmr,Lamalera,Indonesia,Indonesia,4000,True,<10K
370,Lamatuka (lmq),lmq,Lamatuka,Indonesia,Indonesia,4000,False,<10K
371,Lamboya (lmy),lmy,Lamboya,Indonesia,Indonesia,25000,True,<100K
372,Lampung Api (ljp),ljp,Lampung Api,Indonesia,Indonesia,827000,True,<1M
373,Lampung Nyo (abl),abl,Lampung Nyo,Indonesia,Indonesia,180000,True,<1M
374,Land Dayak (day),day,Land Dayak,Indonesia,Indonesia,520000,True,<1M
375,Larantuka Malay (lrt),lrt,Larantuka Malay,Indonesia,Indonesia,20000,True,<100K
376,Larike-Wakasihu (alo),alo,Larike-Wakasihu,Indonesia,Indonesia,12600,True,<100K
377,Lasalimu (llm),llm,Lasalimu,Indonesia,Indonesia,1700,True,<10K
378,Latu (ltu),ltu,Latu,Indonesia,Indonesia,2130,False,<10K
379,Lauje (law),law,Lauje,Indonesia,Indonesia,44000,True,<100K
380,Lawangan (lbx),lbx,Lawangan,Indonesia,Indonesia,100000,True,<1M
381,Ledo Kaili (lew),lew,Ledo Kaili,Indonesia,Indonesia,350000,True,<1M
382,Legenyem (lcc),lcc,Legenyem,Indonesia,Indonesia,250,True,<1K
383,Lengilu (lgi),lgi,Lengilu,Indonesia,Indonesia,3,True,<10
384,Lepki (lpe),lpe,Lepki,Indonesia,Indonesia,530,True,<1K
385,Leti (lti),lti,Leti,Indonesia,Indonesia,7500,True,<10K
386,Levuka (lvu),lvu,Levuka,Indonesia,Indonesia,4000,False,<10K
387,Lewoeleng (lwe),lwe,Lewoeleng,Indonesia,Indonesia,4000,False,<10K
388,Lewotobi (lwt),lwt,Lewotobi,Indonesia,Indonesia,6000,True,<10K
389,Li’o (ljl),ljl,Li’o,Indonesia,Indonesia,105000,True,<1M
390,Liabuku (lix),lix,Liabuku,Indonesia,Indonesia,75,True,<100
391,Liana-Seti (ste),ste,Liana-Seti,Indonesia,Indonesia,3000,False,<10K
392,Lik (eip),eip,Lik,Indonesia,Indonesia,3000,True,<10K
393,Liki (lio),lio,Liki,Indonesia,Indonesia,11,False,<100
394,Limola (ley),ley,Limola,Indonesia,Indonesia,2000,True,<10K
395,Lisabata-Nuniali (lcs),lcs,Lisabata-Nuniali,Indonesia,Indonesia,1830,False,<10K
396,Lisela (lcl),lcl,Lisela,Indonesia,Indonesia,11900,True,<100K
397,Lola (lcd),lcd,Lola,Indonesia,Indonesia,900,False,<1K
398,Lolak (llq),llq,Lolak,Indonesia,Indonesia,3000,False,<10K
399,Lole (llg),llg,Lole,Indonesia,Indonesia,20000,True,<100K
400,Loloda (loa),loa,Loloda,Indonesia,Indonesia,15000,True,<100K
401,Lorang (lrn),lrn,Lorang,Indonesia,Indonesia,220,False,<1K
402,Loun (lox),lox,Loun,Indonesia,Indonesia,0,False,<10
403,Loura (lur),lur,Loura,Indonesia,Indonesia,10000,True,<100K
404,Lower Grand Valley Dani (dni),dni,Lower Grand Valley Dani,Indonesia,Indonesia,20000,True,<100K
405,Luang (lex),lex,Luang,Indonesia,Indonesia,18000,True,<100K
406,Lubu (lcf),lcf,Lubu,Indonesia,Indonesia,30000,True,<100K
407,Luhu (lcq),lcq,Luhu,Indonesia,Indonesia,6500,False,<10K
408,Ma’anyan (mhy),mhy,Ma’anyan,Indonesia,Indonesia,150000,True,<1M
409,Ma’ya (slz),slz,Ma’ya,Indonesia,Indonesia,4000,True,<10K
410,Maba (mqa),mqa,Maba,Indonesia,Indonesia,6620,False,<10K
411,Madura (mad),mad,Madura,Indonesia,Indonesia,6770000,True,<10M
412,Mai Brat (ayz),ayz,Mai Brat,Indonesia,Indonesia,20000,True,<100K
413,Mainstream Kenyah (xkl),xkl,Mainstream Kenyah,"Indonesia, Malaysia",Indonesia,12000,True,<100K
414,Mairasi (zrs),zrs,Mairasi,Indonesia,Indonesia,3300,True,<10K
415,Maiwa (wmm),wmm,Maiwa,Indonesia,Indonesia,50000,True,<100K
416,Makasar (mak),mak,Makasar,Indonesia,Indonesia,2530000,True,<10M
417,Makassar Indonesian (mfp),mfp,Makassar Indonesian,Indonesia,Indonesia,1880000,False,<10M
418,Maklew (mgf),mgf,Maklew,Indonesia,Indonesia,120,True,<1K
419,Malayic Dayak (xdy),xdy,Malayic Dayak,Indonesia,Indonesia,520000,True,<1M
420,Malimpung (mli),mli,Malimpung,Indonesia,Indonesia,5000,True,<10K
421,Mamasa (mqj),mqj,Mamasa,Indonesia,Indonesia,100000,True,<1M
422,Mamboru (mvd),mvd,Mamboru,Indonesia,Indonesia,10000,True,<100K
423,Mamuju (mqx),mqx,Mamuju,Indonesia,Indonesia,60000,True,<100K
424,Manado Malay (xmm),xmm,Manado Malay,Indonesia,Indonesia,2350000,True,<10M
425,Mandar (mdr),mdr,Mandar,Indonesia,Indonesia,475000,True,<1M
426,Mander (mqr),mqr,Mander,Indonesia,Indonesia,20,True,<100
427,Mandobo Atas (aax),aax,Mandobo Atas,Indonesia,Indonesia,10000,True,<100K
428,Mandobo Bawah (bwp),bwp,Mandobo Bawah,Indonesia,Indonesia,20000,True,<100K
429,Manem (jet),jet,Manem,Indonesia,Indonesia,500,True,<1K
430,Manggarai (mqy),mqy,Manggarai,Indonesia,Indonesia,792000,True,<1M
431,Mangole (mqc),mqc,Mangole,Indonesia,Indonesia,7280,False,<10K
432,Manipa (mqp),mqp,Manipa,Indonesia,Indonesia,1500,False,<10K
433,Manombai (woo),woo,Manombai,Indonesia,Indonesia,9110,True,<10K
434,Mapia (mpy),mpy,Mapia,Indonesia,Indonesia,0,True,<10
435,Marau (mvr),mvr,Marau,Indonesia,Indonesia,1700,False,<10K
436,Marind (mrz),mrz,Marind,Indonesia,Indonesia,7000,True,<10K
437,Mariri (mqi),mqi,Mariri,Indonesia,Indonesia,280,False,<1K
438,Masimasi (ism),ism,Masimasi,Indonesia,Indonesia,10,False,<100
439,Masiwang (bnf),bnf,Masiwang,Indonesia,Indonesia,1000,True,<10K
440,Massep (mvs),mvs,Massep,Indonesia,Indonesia,25,True,<100
441,Matbat (xmt),xmt,Matbat,Indonesia,Indonesia,1250,True,<10K
442,Mateq (xem),xem,Mateq,Indonesia,Indonesia,11000,True,<100K
443,Mawes (mgk),mgk,Mawes,Indonesia,Indonesia,850,True,<1K
444,Mekwei (msf),msf,Mekwei,Indonesia,Indonesia,1200,True,<10K
445,Mendalam Kayan (xkd),xkd,Mendalam Kayan,Indonesia,Indonesia,1500,False,<10K
446,Mentawai (mwv),mwv,Mentawai,Indonesia,Indonesia,58000,True,<100K
447,Meoswar (mvx),mvx,Meoswar,Indonesia,Indonesia,250,True,<1K
448,Mer (mnu),mnu,Mer,Indonesia,Indonesia,85,True,<100
449,Meyah (mej),mej,Meyah,Indonesia,Indonesia,14800,True,<100K
450,Mid Grand Valley Dani (dnt),dnt,Mid Grand Valley Dani,Indonesia,Indonesia,50000,True,<100K
451,Minangkabau (min),min,Minangkabau,Indonesia,Indonesia,5530000,True,<10M
452,Mlap (kja),kja,Mlap,Indonesia,Indonesia,300,True,<1K
453,Mo (wkd),wkd,Mo,Indonesia,Indonesia,550,False,<1K
454,Modang (mxd),mxd,Modang,Indonesia,Indonesia,15300,True,<100K
455,Modole (mqo),mqo,Modole,Indonesia,Indonesia,2000,True,<10K
456,Moi Kelim (mxn),mxn,Moi Kelim,Indonesia,Indonesia,4600,True,<10K
457,Moi Lemas (sbg),sbg,Moi Lemas,Indonesia,Indonesia,1200,True,<10K
458,Moksela (vms),vms,Moksela,Indonesia,Indonesia,0,False,<10
459,Molof (msl),msl,Molof,Indonesia,Indonesia,230,True,<1K
460,Moma (myl),myl,Moma,Indonesia,Indonesia,5500,True,<10K
461,Mombum (mso),mso,Mombum,Indonesia,Indonesia,250,True,<1K
462,Momina (mmb),mmb,Momina,Indonesia,Indonesia,200,True,<1K
463,Momuna (mqf),mqf,Momuna,Indonesia,Indonesia,2000,True,<10K
464,Mongondow (mog),mog,Mongondow,Indonesia,Indonesia,230000,True,<1M
465,Moni (mnz),mnz,Moni,Indonesia,Indonesia,20000,True,<100K
466,Mor (mhz),mhz,Mor,Indonesia,Indonesia,700,True,<1K
467,Mor (moq),moq,Mor,Indonesia,Indonesia,30,True,<100
468,Moraid (msg),msg,Moraid,Indonesia,Indonesia,1000,True,<10K
469,Mori Atas (mzq),mzq,Mori Atas,Indonesia,Indonesia,14000,True,<100K
470,Mori Bawah (xmz),xmz,Mori Bawah,Indonesia,Indonesia,14000,True,<100K
471,Moronene (mqn),mqn,Moronene,Indonesia,Indonesia,37000,True,<100K
472,Morop (iwo),iwo,Morop,Indonesia,Indonesia,6900,True,<10K
473,Morori (mok),mok,Morori,Indonesia,Indonesia,50,True,<100
474,Moskona (mtj),mtj,Moskona,Indonesia,Indonesia,8000,True,<10K
475,Mpur (akc),akc,Mpur,Indonesia,Indonesia,7000,True,<10K
476,Mualang (mtd),mtd,Mualang,Indonesia,Indonesia,40000,True,<100K
477,Muna (mnb),mnb,Muna,Indonesia,Indonesia,300000,True,<1M
478,Munggui (mth),mth,Munggui,Indonesia,Indonesia,800,True,<1K
479,Murkim (rmh),rmh,Murkim,Indonesia,Indonesia,290,True,<1K
480,Musi (mui),mui,Musi,Indonesia,Indonesia,3105000,True,<10M
481,Nafri (nxx),nxx,Nafri,Indonesia,Indonesia,1630,True,<10K
482,Nage (nxe),nxe,Nage,Indonesia,Indonesia,50000,True,<100K
483,Naka’ela (nae),nae,Naka’ela,Indonesia,Indonesia,5,False,<10
484,Nakai (nkj),nkj,Nakai,Indonesia,Indonesia,700,True,<1K
485,Nalca (nlc),nlc,Nalca,Indonesia,Indonesia,16000,True,<100K
486,Namla (naa),naa,Namla,Indonesia,Indonesia,30,True,<100
487,Napu (npy),npy,Napu,Indonesia,Indonesia,6100,True,<10K
488,Nasal (nsy),nsy,Nasal,Indonesia,Indonesia,3000,True,<10K
489,Ndom (nqm),nqm,Ndom,Indonesia,Indonesia,1200,True,<10K
490,Nduga (ndx),ndx,Nduga,Indonesia,Indonesia,10000,True,<100K
491,Nedebang (nec),nec,Nedebang,Indonesia,Indonesia,200,True,<1K
492,Ngad’a (nxg),nxg,Ngad’a,Indonesia,Indonesia,60000,True,<100K
493,Ngaju (nij),nij,Ngaju,Indonesia,Indonesia,890000,True,<1M
494,Ngalum (szb),szb,Ngalum,Indonesia,Indonesia,10000,True,<100K
495,Ngapak Javanese (map_bms),map_bms,Ngapak Javanese,Indonesia,Indonesia,-,True,N/A
496,Nggem (nbq),nbq,Nggem,Indonesia,Indonesia,4400,True,<10K
497,Ngkâlmpw Kanum (kcd),kcd,Ngkâlmpw Kanum,Indonesia,Indonesia,150,True,<1K
498,Nias (nia),nia,Nias,Indonesia,Indonesia,770000,True,<1M
499,Nila (nil),nil,Nila,Indonesia,Indonesia,0,True,<10
500,Nimboran (nir),nir,Nimboran,Indonesia,Indonesia,2000,True,<10K
501,Ninggerum (nxr),nxr,Ninggerum,Indonesia,Indonesia,5150,True,<10K
502,Ninia Yali (nlk),nlk,Ninia Yali,Indonesia,Indonesia,10500,False,<100K
503,Nipsan (nps),nps,Nipsan,Indonesia,Indonesia,2500,False,<10K
504,Nisa (njs),njs,Nisa,Indonesia,Indonesia,500,False,<1K
505,North Asmat (nks),nks,North Asmat,Indonesia,Indonesia,1000,True,<10K
506,North Awyu (yir),yir,North Awyu,Indonesia,Indonesia,1500,True,<10K
507,North Babar (bcd),bcd,North Babar,Indonesia,Indonesia,1000,True,<10K
508,North Moluccan Malay (max),max,North Moluccan Malay,Indonesia,Indonesia,1000000,True,<10M
509,North Muyu (kti),kti,North Muyu,Indonesia,Indonesia,8000,True,<10K
510,North Nuaulu (nni),nni,North Nuaulu,Indonesia,Indonesia,500,False,<1K
511,Nusa Laut (nul),nul,Nusa Laut,Indonesia,Indonesia,10,True,<100
512,Obokuitai (afz),afz,Obokuitai,Indonesia,Indonesia,120,True,<1K
513,Oirata (oia),oia,Oirata,Indonesia,Indonesia,1220,True,<10K
514,Okolod (kqv),kqv,Okolod,"Indonesia, Malaysia",Indonesia,3390,False,<10K
515,Onin (oni),oni,Onin,Indonesia,Indonesia,500,True,<1K
516,Onin Based Pidgin (onx),onx,Onin Based Pidgin,Indonesia,Indonesia,0,False,<10
517,Ormu (orz),orz,Ormu,Indonesia,Indonesia,500,True,<1K
518,Orya (ury),ury,Orya,Indonesia,Indonesia,1600,True,<10K
519,Osing (osi),osi,Osing,Indonesia,Indonesia,300000,False,<1M
520,Ot Danum (otd),otd,Ot Danum,Indonesia,Indonesia,78800,True,<100K
521,Padoe (pdo),pdo,Padoe,Indonesia,Indonesia,5000,True,<10K
522,Pagu (pgu),pgu,Pagu,Indonesia,Indonesia,3310,True,<10K
523,Paku (pku),pku,Paku,Indonesia,Indonesia,3500,True,<10K
524,Palu’e (ple),ple,Palu’e,Indonesia,Indonesia,10000,True,<100K
525,Pamona (pmf),pmf,Pamona,Indonesia,Indonesia,137000,True,<1M
526,Panasuan (psn),psn,Panasuan,Indonesia,Indonesia,800,True,<1K
527,Pancana (pnp),pnp,Pancana,Indonesia,Indonesia,6000,True,<10K
528,Pannei (pnc),pnc,Pannei,Indonesia,Indonesia,9000,False,<10K
529,Papasena (pas),pas,Papasena,Indonesia,Indonesia,400,True,<1K
530,Papuan Malay (pmy),pmy,Papuan Malay,Indonesia,Indonesia,1100000,True,<10M
531,Papuma (ppm),ppm,Papuma,Indonesia,Indonesia,600,True,<1K
532,Pass Valley Yali (yac),yac,Pass Valley Yali,Indonesia,Indonesia,5000,True,<10K
533,Patani (ptn),ptn,Patani,Indonesia,Indonesia,10600,True,<100K
534,Paulohi (plh),plh,Paulohi,Indonesia,Indonesia,50,True,<100
535,Pekal (pel),pel,Pekal,Indonesia,Indonesia,30000,False,<100K
536,Pendau (ums),ums,Pendau,Indonesia,Indonesia,4500,True,<10K
537,Perai (wet),wet,Perai,Indonesia,Indonesia,280,True,<1K
