model,ace,ban,bbc,bjn,bug,ceb,fil,hmv,ilo,ind,jav,kac,khm,lao,ljl,lus,mad,min,mya,nij,pag,shn,sun,tha,vie,war,zsm
LLaMa3-8b-WangchanX-sft-Demo,19.759748670161276,24.408968755584628,14.319719104880043,28.86324315095102,13.367902155792994,42.16500238083637,48.5687781499707,12.674910051475438,29.397850409557428,50.129633929082416,29.417976061488993,7.7317255753471725,18.061645523243183,19.698098672522526,6.043912397054763,17.586545070610928,15.639625663184022,29.98604912438855,10.446167081742832,18.05675889793835,22.420612938819474,13.882200810901852,28.04415694100026,25.13831744698048,39.24238615810905,35.47906299176152,45.40515717428293
Merak-7B-v4,7.379690527457945,10.28474118349742,6.6889847480406015,11.297472359089497,7.143097657409042,8.201355333800048,12.753108718552944,6.272470452311083,6.659653888055336,29.484885548851075,9.617085026465766,3.681724578998334,3.8116185844911477,5.878362716895921,3.197750331145796,7.971020688304542,6.458764583967972,12.485410579759659,2.4467663847326704,7.979528568163746,8.184672953880156,5.607657256893219,10.55727645599717,5.937360316492048,7.195157035426024,7.414408402640735,20.382019798298273
Meta-Llama-3-8B-Instruct,10.952961028664742,12.262997001054872,8.06526901172428,13.845679491891673,7.636107021823755,25.142254832318066,33.24540430544174,7.626223567110656,18.44764190805678,21.919154335794282,17.01383318304674,4.786796530253136,6.468426803214917,5.783973176975366,3.163475794692226,9.582151739471872,8.50981679196976,16.395271023098005,4.479373241739002,9.537331751800231,11.840961102481081,6.324692794338814,15.087004660492232,9.566876862027483,21.748726514304035,20.52240675929484,25.225933529586765
Mistral-7B-Instruct-v0.2,12.389954267994883,15.027095203339371,10.005668571838267,13.89946455374643,11.08846041697579,28.47684901396609,37.172033340600436,10.221651987603035,15.898736203241286,28.642270788847398,15.42657411161096,7.272839943499865,8.707430704137247,10.782534850094812,4.185924185166452,11.726106423317534,9.540827643849457,18.022903204410106,5.658097684680002,12.401633701939836,17.4969308536857,9.526895273596098,14.786390388810338,15.12395394680446,25.069573089216384,22.42498307841533,31.065153038999973
Sailor-7B-Chat,19.201710808225393,24.531862196074048,15.333806341894862,23.094079720250654,14.592090101016735,28.995381747292104,39.68080442699815,8.593651208694586,13.493250887174511,46.80492218812066,30.573781207085354,7.124988391699467,12.468232693970053,24.402628195177453,6.236598610629879,10.49153080409434,15.9988938364604,28.763302827770303,5.793240364877362,19.148926105280683,16.53967911820804,8.977265584374631,26.66402042894991,22.034503169000633,41.05349387987388,21.539416827811753,49.90796179085032
SeaLLM-7B-v2.5,15.192874477493042,20.24442555190627,11.744244659610015,19.506375710274675,11.545525884963514,37.091746113278646,49.06068172466051,14.499273457038694,26.809246301877693,43.03455193407878,26.591790728737664,7.549687478812941,17.820995302817778,22.209963716828106,4.698967189982139,15.112086754104453,12.243538761019856,26.819554563448282,9.1778176157102,14.552846818143827,19.192747181060547,9.386236289283568,21.958052277157996,21.637879023711424,36.68365766022843,28.84017336866377,45.73785301724615
aya-101,26.406064973623707,26.82639795370549,14.56697452728799,21.55035718935907,12.599355031544773,49.337297941039004,46.59931684936937,33.33846172277169,25.796311570519123,49.51785410097565,38.7867120149967,12.240447017035034,25.930267183175346,37.17005996153292,4.443867190490542,17.75796308912702,13.387886995119432,29.705420926269433,17.58038162108569,13.206316559659196,23.297511954298407,20.356289238103294,35.64154243630557,22.193258555392102,36.459172208498295,36.892887273329194,41.94487960169563
aya-23-8B,9.284234968758504,10.53970760815476,8.041572177845989,11.556439200386748,6.878887544277149,14.21556900975082,17.549518428061706,5.583545636348513,8.292496470950603,18.282934177536614,11.341458330551992,5.673639113607113,3.9982130945476153,5.947615301681546,2.720548003607755,8.106839547693362,7.556269832240902,12.247618208869739,3.311557889526071,9.033418250856778,8.820910145000378,6.476312973606158,10.3571615770769,6.811573916067794,24.302927788859737,10.624484459546544,17.72714397762042
bactrian-x-llama-7b-merged,10.88039126589776,11.581517785578457,8.916900646085008,12.287262103244185,8.758458194286304,21.983528221865733,32.12531519598667,8.475920953413462,12.09064064434348,25.060179546023157,11.37578646521998,6.887779287929839,6.400700832426296,8.225690595449308,4.065470012087518,10.85668024590775,8.694107260586783,14.080374464021407,4.336340649596251,8.363679874157206,15.198978956807714,7.992312478403053,11.381372240136749,10.81116467938266,19.423989977402748,16.56052797807741,23.426274502315163
bloomz-7b1,3.8192691532210374,4.594109658838033,2.846107119310129,5.341556834783878,2.9208065292176935,4.105149135086071,5.080618035317595,3.414030868276595,4.15668073193407,32.342275936414616,4.921632850136548,2.9768810726496984,1.5273224946205486,2.406543438666817,1.5462392571645727,4.013110869499012,2.7209834536914643,5.703627570710953,1.1699255539885531,3.181052637505229,4.941166576859443,2.597573459220068,4.55192162717042,3.2739384042908357,24.149920876178253,5.417923182628968,10.052682882313249
cendol-llama2-7b,8.58648275647258,9.958477866659724,14.432298152844655,19.299026291068373,6.638916218363912,6.851835812958589,8.157187741017879,6.430365820637297,6.443163980570504,36.0998493645048,19.05196605705918,5.471419187301596,3.015488785907841,4.262935489915433,4.089700873060345,4.477811056883308,14.0932433668915,22.02167211589487,1.924218863417071,17.52443440526624,5.437323982511928,4.777187473856543,17.28412161302588,3.4389130511372135,8.115633821056537,7.633148167264722,21.988864285402215
cendol-mt5-xl,8.316797595940228,11.433667942534699,14.171579652213936,11.624854650274296,6.880610859112841,7.178532453649887,8.42912403805781,4.685478114445047,5.4805682175042945,35.77594607852168,17.52790885254742,3.954283898546866,6.340714649923501,8.454512053791115,2.0068209754246817,5.238827208815852,6.079396177417247,10.485197465042768,2.949435849973909,8.81036878825509,6.644950513021474,4.120533156715282,17.120331935885744,5.45384705287846,4.362213538422579,6.416817574420566,20.510145572184715
command-r,19.598456810304523,26.121249854218334,16.40982032876399,30.023563838476413,15.958895779848438,44.30804467979638,52.531926889811245,16.783204388387674,29.420741762651794,57.91341637745266,32.63624129348981,8.771311556154618,8.654786340141397,14.207984048165093,6.021746347020111,19.496558850560174,17.219086996104387,31.613773626126658,9.49057453203361,18.41128670257425,20.40939861895185,8.904787078451875,27.51691964279119,24.318344204097897,46.76921870314824,34.38976660943013,50.130001225147524
falcon-7b-instruct,7.323647297179163,9.48568727723528,8.223018082380658,8.335398017328359,7.929316333569277,18.64465307934159,23.632383378238664,6.647734235239321,9.715818177588943,15.32075252006868,7.718594250217654,5.95888065742597,3.1479583468285974,3.1383693849512744,4.217643325092132,9.344901825558203,6.609893426873759,11.788283411892936,1.776565101780405,8.714671151731757,12.942505932113225,4.518932691810434,7.748638579033427,2.4006536795418265,13.512214546404575,13.511618155609508,17.001502227116738
gpt-4o,32.862396867091704,40.709855170030025,28.795619169055556,41.96530472566069,24.08759027072457,66.53998829667371,65.60375080307517,49.96303532077828,52.860270938837665,59.32321203391856,54.21443910962033,16.658743081205227,29.842576396138952,41.94179299727881,10.010178967641167,33.34574579792702,29.17547651463024,46.07717426892955,21.48812956063452,27.650400146614736,37.012843198453595,14.536050494795155,50.03140698740192,28.79372353900815,47.5572320103799,66.37432639008387,59.647977643815125
malaysian-llama-3-8b-instruct-16k,15.153164962386931,17.337446149623624,12.345654697673968,22.200223294619988,11.112001659034167,19.729409442547627,24.0349192905666,8.65836108368078,12.59105398365946,38.586943233314855,19.362081104223506,7.157456515395333,6.728861130358399,9.024198520311032,5.87867154179871,10.619211458974899,12.439009157287593,23.517959618419283,4.16362426712481,14.296759791744176,13.885962351249464,8.332024357438094,18.974627006777947,14.242063079661976,17.33110348564562,15.581220840544237,44.41044612036348
mt0-xl,4.767884610615571,5.636729210891505,3.7201345015985923,5.663572024190371,3.086806616296422,4.565648440718466,6.8427139538855055,4.505204261397101,3.8450130454368283,29.31956241985234,5.827828723141364,2.097099525656026,4.314305334078809,6.114276182217651,1.6943748878785305,3.368601286872661,3.5608688168448808,6.544622085379202,5.001297655408808,3.468551331882569,3.5601671835571116,3.548034752702434,6.784903957164477,9.423537138650245,19.64574802628075,6.093568802569958,9.121690336226667
sea-lion-7b-instruct-research,7.18982155250587,8.12967242760752,6.486338096345552,9.271405380500655,5.842639468778214,12.488883233345078,17.083086534067,4.906602791868641,6.987609784624063,13.931924979128825,7.917719244300127,5.323695081409096,7.040161209556188,9.648255483034813,1.974046812520827,7.64478183310209,6.0390937087081955,9.509955482911808,4.848988560484815,6.571915389503444,8.447284106378362,4.8731585567190505,7.9570914413768,5.947847322737393,21.237671270957964,10.296447197393121,14.081419479976049
