model,abl,abs,ace,ban,bbc,bew,bhp,bjn,btx,bug,ceb,eng,fil,ilo,ind,jav,kac,khm,lao,lus,mad,mak,min,mui,mya,nij,pag,rej,shn,sun,tha,vie,war,zsm
LLaMa3-8b-WangchanX-sft-Demo,38.44233935274064,59.253216616497866,26.79882530278689,35.22942474712465,35.02992172801336,43.2835252516104,56.87730505786118,31.584857857448608,38.31535750513727,31.226880543077204,32.256966898862316,57.61027646225089,36.63770768608682,29.313699250802568,44.977588110861774,38.72646307718339,23.71637522003773,24.295363548504568,25.13764357037391,26.634734028215338,40.37189116564617,41.371101722677444,34.76039705023627,43.63935207207958,31.55227094777447,36.9504480566638,31.17996015338177,42.940422667649415,23.54724783000573,39.791063337680086,36.50980410236736,38.43797673421572,31.34254032456924,36.95800169733718
Merak-7B-v4,37.02424243939337,68.6261248566978,37.673185438193315,48.28313478209149,36.37951048904682,66.05749316446972,60.10443084532423,41.43508383155212,50.38207468232847,47.84309492977089,42.41232920300224,59.554975089792556,37.92838723169616,39.73494197664798,48.53814777025002,48.44244873230112,27.944981408391072,24.232681502431124,27.98261066772962,44.30558743926057,51.672684486086375,51.038515100567935,50.48204003528619,70.28238261210753,27.191830857953256,40.00022303581533,58.63654196683772,57.91868344922721,28.6478218390103,50.82371163743086,29.25518127952723,35.34767400872881,43.65037030143109,47.098111575031226
Meta-Llama-3-8B-Instruct,37.31970254433779,40.288191947308654,43.24673598059428,48.86977646044218,34.79502468681644,44.54178334291529,32.55859015599482,42.21385432494381,38.51575733502035,42.92468822245848,51.19442472678224,59.45942722659411,45.1889393018356,46.67837485651484,49.19375795039584,44.3512506957265,28.496965416799572,34.59393640204705,30.287455559139858,46.77640458478493,38.96113828603748,38.017102267141034,43.60177684717472,49.2167428169621,35.184852293150726,39.55082014984046,60.544886150179984,38.50402967878422,31.12600939107207,45.19340650746637,43.77145776178626,45.52604763191508,50.261211073743596,48.96711944292996
Mistral-7B-Instruct-v0.2,36.681222295836044,53.644206931236596,46.43248731501393,49.600232874184165,32.993169568166465,59.281264888789075,44.28884184404501,44.59492188720825,44.290242332514126,48.759874945173436,53.529218613357635,69.19225001540991,48.44955470358743,49.10154768046684,52.48947340567494,46.69660954439857,33.15252519942031,29.799836191900802,30.672455481827402,56.07074224062199,45.68158778651892,44.79839363053934,51.239443736506786,62.649163648544295,27.382435132653764,40.11883895926935,69.24881521519222,48.59284069419281,31.87998919694429,48.25774738428324,40.845178313868715,45.17127327201829,54.37939623753499,49.61094021500305
Sailor-7B-Chat,50.41011189193747,59.18570303568169,43.79289152212367,55.5303875819867,44.062069973147096,61.458466152699124,43.891969540956666,50.50161602190946,44.75816576411093,45.732557420622285,45.56367640046768,63.04129183848679,40.15865135737197,44.98807672884703,51.31737509401755,53.0538200637026,29.860669117637304,32.65312126955118,53.87930607942611,53.921700055986626,47.64280715547903,46.52588011949402,52.775708618759126,63.924226832560414,28.10244971742632,52.655075711786,59.33057577031186,42.1766211832365,26.71939710857646,53.98867562200162,46.31517922713964,47.735107663684275,49.1964504388504,52.093325466165815
SeaLLM-7B-v2.5,50.73307586546742,55.124047435649864,34.53520974372616,43.42533666535597,36.34323275762048,53.89523345837785,53.17269919127682,45.78062988533329,45.75543494730071,37.691384439441435,47.58096602370202,42.49930252595227,52.59210343651696,44.669580258865174,53.43533751582648,49.80011454474923,27.397597555767817,42.59869155705534,50.272658554435516,45.810951227873225,48.69271398045071,49.78706217406335,46.759213326375544,58.43840508240272,41.037540688645855,39.108711323943176,55.697667062235155,47.78695037134282,28.666208699999135,50.09079624289316,49.0385602187482,54.531172157473705,55.441714840411294,60.61692354089643
aya-101,42.545293010823485,64.33823629009073,71.19251922779969,65.23466133259208,58.77556976705043,68.15687172133921,43.25363776503559,63.45269155205719,52.67880531745297,60.73686719583996,71.69889708581705,62.81098010864688,52.84759564243031,64.96735207976944,54.20850853115587,62.63497172433134,43.12916303031944,62.20265926058276,67.79765208528686,71.82673384165612,56.94954829061958,48.97040700977527,69.3397430007513,70.20325567238991,51.54083859128038,57.24726006519549,75.71097464516633,52.91562914505645,53.786251894927254,67.1605093637197,49.45411606124524,48.02309164687616,70.52811679288344,56.35239854425305
aya-23-8B,43.26483515367364,21.159839394920436,26.94359527742088,34.9752396100813,24.281635664999055,31.180464075800316,16.771978369358074,30.942656726996315,25.08295760693781,26.47626961753661,36.04746215518954,50.846593645359484,33.542425097013215,32.65286903579388,46.84052521152181,36.90971046721186,20.472875885066887,15.114630301264283,21.956057637631393,27.44177083636298,31.04003383146689,31.689766364425832,27.28267753457726,35.479070410399295,23.747450104850543,37.28367194435124,32.609349249749705,22.836622837202665,20.843194689778485,34.896016063917514,32.70976690910119,44.82062580798516,37.06725395542623,47.89372556125462
bactrian-x-llama-7b-merged,24.85653939041733,48.599039663117786,21.180764642661856,28.477993098830307,26.85209437806697,33.36609457240508,45.930671152525406,22.846154515434872,31.361688595921358,22.709773036588913,27.921947420236748,45.58990910135097,31.95588303305908,24.324348109500622,38.30247079926464,30.04976291667894,19.897077611466575,16.993841503618118,20.708338155766608,20.95646458662611,30.007916982685845,28.75943319078128,26.169951702285235,35.71991812795438,22.831833059337274,27.190777357358325,26.50404242579909,29.234142846880573,20.525531936758615,30.227542997168513,24.477616776813836,27.085086491559373,28.260568771371865,31.46408372813852
bloomz-7b1,25.592288958648535,66.48260382960486,28.37537869320731,34.21098378071156,35.81660718916033,53.88556008727512,48.02724699824597,30.441645947147197,36.33331781987708,33.27620045015694,30.890152924987902,51.71585909820188,28.890288084250553,27.784710659201057,44.711367646563936,38.174645000291115,23.134341367170553,18.880031106877517,23.623681949279515,28.125189747427026,37.80742389857587,34.50378516111423,39.90194048056712,60.204832216803176,23.027102100328644,34.57107650144676,33.09349695717059,42.15566571784236,19.75486886594812,41.31639823787758,25.926579717480276,34.792027334084544,32.05699910753636,34.26799063511563
cendol-llama2-7b,17.534644972539187,79.96179078972018,30.837699450310083,33.472110374090526,60.55210324492324,49.303070067668955,73.40658530525302,27.911078258177607,45.14205351308208,32.31127877072685,18.68969226022342,36.78700738249683,21.417362369203307,17.801605053864645,37.447032598120295,35.05101548197836,14.72203553262018,13.16415785441199,15.924306184883298,14.992037111778217,46.33916119239961,38.117400258203695,37.11102521065126,51.64930226747219,19.896423075066146,40.26358811900807,17.698817575997463,47.684718730637634,16.500225862952863,38.50265857288783,20.56863912639622,17.294975080383963,18.520536092631744,18.41877859917225
cendol-mt5-xl,14.999150196548982,98.46673804555464,38.25232992821127,42.25955534141997,84.69797163986341,99.36038181007206,95.6234134898563,33.3489155024643,92.57570203966341,68.64576122666692,14.077281776236442,38.68660262370698,23.786633312886064,12.166116958841904,33.37935570260387,50.54307153329608,10.442821998551015,20.29943889115735,15.32807445516982,9.557597855197017,76.48776515511722,70.1581845803103,65.15801065916553,99.62505228971786,16.557975102117428,52.63630424058265,12.773481853035776,98.93898836056836,7.236506549512,56.63234252660701,26.410092116162996,14.724425811778323,15.093055847412693,15.903080975305867
command-r,50.10692003537274,80.82671271139098,57.620314629724824,62.82648491903732,47.36921178751583,81.75262022493175,58.18986430032557,57.14929559047403,57.29412058565011,57.903856362700765,66.67146898461966,69.37524274803593,51.05278842681861,56.78074308282568,58.25541762062449,61.157808628273415,36.54511521135521,41.473946004315515,33.755800224210184,63.85519239445935,61.888464175891606,58.377896205199534,66.44403266010724,81.65882504034074,34.807482531300394,53.31301602784582,75.55526897276246,69.62462753629644,35.391630338767044,63.22252136642123,42.73617164321899,55.858447560827706,67.62415140996069,55.70998832373343
falcon-7b-instruct,21.081151466390036,63.16737550128787,13.30466424046132,18.96443369051374,22.977790075986658,37.85585694226119,62.07694164008938,15.584620371404384,31.925807512341148,15.745350278844532,19.461718771388004,43.68656888364435,25.090644962188595,18.766986091296413,30.822842133945024,27.009201865054653,14.153703170983556,10.235543728423297,12.695628566578101,15.0327628354423,30.28726667457104,32.31065006191482,23.646729293318327,37.038144615733444,18.01521291743662,23.03817417181462,18.83457338052861,36.01781230499713,14.117905778489868,28.197942099406653,15.901330097604468,18.80358418246386,19.07640694353643,17.43070859179299
gpt-4,63.25422044142276,39.04690230565421,39.290793025940154,60.34439913652769,7.07357808315447,68.5408637188921,2.7613351340922203,60.43910710943743,27.80028208878313,40.447021982612206,85.57062959192808,52.09930003806232,55.92651030858587,69.45774229001945,60.68458791095267,59.681707023297136,30.826852138522835,66.40809943651881,51.848029716136004,69.98010073861467,37.10172299178704,44.26405945407936,57.893203486787925,71.84179191162661,47.63170327644427,40.16318700249359,79.39768459854542,34.01027486657169,21.697668048321514,58.45280073655294,59.63748474568498,56.114453750869025,84.90775657934661,61.60398673348959
malaysian-llama-3-8b-instruct-16k,38.898730805293106,62.30663282518204,38.07787043386449,41.863647305736954,39.243352723257665,46.85925926331652,58.313553039084574,39.45025186123693,40.51938117690144,35.893117152404216,37.821478881611284,55.53672158128089,34.51451717636659,33.134613457530186,48.55441055918038,42.59395756886355,24.7029213581077,18.89358370436571,20.398913458842117,33.56866375288164,42.08875784549303,41.00529440760973,42.50665984896133,48.46020171778914,22.19704452098954,39.556870616406734,46.80885625759766,41.08303701277896,19.629408181227898,43.997850474346144,33.73689972775474,34.61273178990572,37.666802078309594,49.872153500544535
mt0-xl,37.57480293419804,63.64925582499156,43.69678962697287,51.23551348238681,36.98638456443469,66.08407402650079,38.38516044614327,43.604188259140074,41.347619576565776,50.266284707950234,62.471794515385675,49.43707573066013,40.981013513007596,59.03187979710922,47.226206557291654,56.01703452646734,40.86782285760523,57.53915399167665,61.1545255765786,56.98375381814598,46.74644879441487,45.75252246703489,52.593084202692566,68.76656359026619,45.898442353101565,40.895490681883096,62.5514788958099,47.83111956283728,46.96414041325297,58.83688924493573,41.83204453879715,41.41488033413685,61.37031572404708,49.44159589161999
sea-lion-7b-instruct-research,10.289397140211832,62.262933741456585,13.49982203542006,16.548405367336763,21.309278190154764,35.34040389384264,60.267061985412305,13.365885014462187,31.84070209411624,15.204953228857818,13.568608575041424,26.57683140659509,20.59950854233612,10.215233564731287,27.637210221669722,21.436002029833006,8.6819702469456,16.794042213943744,15.183009833813715,12.488875495182663,26.82708458365092,28.318742132902827,22.7848364518057,34.64517502885811,22.952832281863028,15.99180032910641,14.394515123100343,34.08535155044468,9.693164364995875,23.427607664951502,16.29990804235202,14.689406877375236,14.177479033432933,13.337719373365262
