type,dataset,link,lang,task,dataloader_name,split
Machine-translated,Aya Evaluation Suite,https://huggingface.co/datasets/CohereForAI/aya_evaluation_suite,"ceb,tha,mya,zsm,jav,ind,vie,sun,khm,lao,eng",Instruction Tuning,aya_evaluation_suite,Test
Machine-translated,Bactrian-X,https://github.com/mbzuai-nlp/Bactrian-X,"mya,tgl,ind,khm,tha,vie","Question Answering
Summarization
Relation Extraction
Text Classification",bactrian_x,Test
Machine-translated,ParaCotta,https://drive.google.com/drive/u/1/folders/1AC6c5WWNk28CNNIO1q2vn_lblMujK7kq,ind,Paraphrasing,paracotta_id,Train
Machine-translated,CC3M-35L,"CC3M-35L: https://google.github.io/crossmodal-3600/
CC3M: https://ai.google.com/research/ConceptualCaptions/download","tgl,ind,tha,vie",Image-to-Text Generation,cc3m_35l,Train
Machine-translated,Aya Collection - Translated (translated dolly),https://huggingface.co/datasets/CohereForAI/aya_evaluation_suite,"ceb,tha,mya,zsm,jav,ind,vie,sun,khm,lao,eng",Instruction Tuning,aya_collection_translated,Train
Machine-translated,MultiJail,https://github.com/DAMO-NLP-SG/multilingual-safety-for-LLMs,"jav,vie,tha",Language Modeling,xl_jailbreak,
Natural,ara-close-lange,https://github.com/imperialite/ara-close-lang,ceb,Readibility Assessment,ara_close,Test
Natural,Aya Dataset,https://huggingface.co/datasets/CohereForAI/aya_dataset,"tgl,ceb,tha,mya,zsm,jav,ind,vie,sun",Instruction Tuning,aya_dataset,Train
Natural,BKD-Prosub,https://babyai-hub.vizdata.tech/?p=313,tha,Coreference Resolution,bkd_prosub,
Natural,BM-PT3,https://github.com/mesolitica/malaysian-dataset/tree/master/llm-benchmark/BM-pt3,zsm,Commonsense Reasoning,bm_pt3,
Natural,Code-mixed Sentiment JV-ID,https://docs.google.com/spreadsheets/d/1mq2VyPEDfXl7K6p5TbRPsaefYwkuy7RQ/edit?usp=sharing&ouid=117177384852624891959&rtpof=true&sd=true,"jav,ind","Sentiment Analysis
Machine Translation",code_mixed_jv_id,
Natural,TLUnified-NER,https://huggingface.co/datasets/ljvmiranda921/tlunified-ner,tgl,Named Entity Recognition,tlunified_ner,Train
Natural,Filipino Slang Spelling Normalization,https://github.com/ljyflores/efficient-spelling-normalization-filipino,tgl,Lexical Normalization,filipino_slang_norm,Train
Natural,COPAL,https://huggingface.co/datasets/haryoaw/COPAL,ind,Commonsense Reasoning,copal,
Natural,Corpus of Singapore English Messages (CoSEM),https://github.com/wdwgonzales/CoSEM/blob/main/Corpus/COSEM_v4_publicrelease_SEP172023.zip,eng,Language Modeling,cosem,Test
Natural,Dengue Filipino,https://huggingface.co/datasets/dengue_filipino,tgl,Text Classification,dengue_filipino,
Natural,EmoT (IndoNLU Split),https://github.com/IndoNLP/indonlu/tree/master/dataset/emot_emotion-twitter,ind,Emotion Classification,emot,
Natural,EMoTES-3K,https://huggingface.co/datasets/NLPinas/EMoTES-3K,tgl,Commonsense Reasoning,emotes_3k,Test
Natural,FacQA,https://github.com/IndoNLP/indonlu/tree/master/dataset/facqa_qa-factoid-itb,ind,Question Answering,facqa,
Natural,Fake News Filipino (non-hoax),https://github.com/jcblaisecruz02/Tagalog-fake-news,tgl,Hoax Detection,fakenews_ph,
Natural,Filipino Slang Spelling Normalization,https://github.com/ljyflores/efficient-spelling-normalization-filipino,tgl,Lexical Normalization,filipino_slang_norm,
Natural,Hate Speech Filipino Tweet,https://huggingface.co/datasets/hate_speech_filipino,tgl,Hate Speech Detection,filipino_hatespeech_election,
Natural,ID Short Answer Grading,https://github.com/AgeMagi/tugas-akhir/tree/master/data,ind,Short Answer Grading,id_short_answer_grading,
Natural,idner-news-2k,https://github.com/khairunnisaor/idner-news-2k,ind,Named Entity Recognition,idner_news_2k,
Natural,indo_story_cloze,https://huggingface.co/datasets/indolem/indo_story_cloze,ind,Commonsense Reasoning,indo_story_cloze,
Natural,IndoCulture,https://huggingface.co/datasets/indolem/IndoCulture,ind,Commonsense Reasoning,indoculture,
Natural,Melayu_Standard_Lisan,https://github.com/matbahasa/Melayu_Standard_Lisan,zsm,Language Modeling,melayu_standard_lisan,
Natural,MinangNLP Sentiment Analysis,https://github.com/fajri91/minangNLP,ind,Sentiment Analysis,minang_senti,
Natural,MKQA,https://github.com/apple/ml-mkqa,"khm,zsm,tha,vie",Question Answering,mkqa,Train
Natural,NERP (IndoNLU Split),https://github.com/IndoNLP/indonlu/tree/master/dataset/nergrit_ner-grit ,ind,Named Entiy Recognition,nerp,
Natural,NUS SMS Corpus,https://github.com/kite1988/nus-sms-corpus,eng,Language Modeling,nus_sms_corpus,
Natural,NusaParagraph Rhetoric,https://github.com/IndoNLP/nusa-writes/tree/main/data,"jav,sun",Rhetoric Classification,nusaparagraph_rhetoric,Test
Natural,OpenAssistant,https://github.com/LAION-AI/Open-Assistant,"tha,vie,ind",Chatbot,oasst2,
Natural,Orchid Corpus,https://github.com/wannaphong/corpus_mirror/releases/tag/orchid-v1.0,tha,POS Tagging,orchid_pos,
Natural,PhoNER_COVID19,https://github.com/VinAIResearch/PhoNER_COVID19/tree/main,vie,Named Entity Recognition,pho_ner_covid,
Natural,POSP (IndoNLU Split),https://github.com/IndoNLP/indonlu/tree/master/dataset/posp_pos-prosa,ind,POS Tagging,posp,
Natural,Sea-bench (ONLY natural QA),https://huggingface.co/datasets/SeaLLMs/Sea-bench/raw/main/question.jsonl,"tgl,khm,vie,tha,lao,mya,ind,zsm",Instruction Tuning,sea_bench,Test
Natural,SeaEval (sg-eval & ph-eval),https://github.com/SeaEval/SeaEval,"ind,vie,zsm,tgl","Commonsense Reasoning
Question Answering",seaeval,Test
Natural,TermA,https://github.com/IndoNLP/indonlu/tree/master/dataset/terma_term-extraction-airy,ind,Keyword Extraction,term_a,
Natural,TLUnified-NER,https://huggingface.co/datasets/ljvmiranda921/tlunified-ner,tgl,Named Entity Recognition,tlunified_ner,
Natural,TydiQA,https://github.com/google-research-datasets/tydiqa,"ind,tha",Question Answering,tydiqa,
Natural,UIT-ViOCD,https://huggingface.co/datasets/tarudesu/ViOCD,vie,Text Classification,uit_viocd,
Natural,Vietnamese Hate Speech Detection (UIT-ViHSD),https://github.com/sonlam1102/vihsd/,vie,Hate Speech Detection,uit_vihsd,
Natural,Vietnamese Students' Feedback Corpus (UIT-VSFC),https://drive.google.com/drive/folders/1HooABJyrddVGzll7fgkJ6VzkG_XuWfRu,vie,"Sentiment Analysis
Topic Classification",uit_vsfc,
Natural,ViLexNorm,https://github.com/ngxtnhi/ViLexNorm,vie,Lexical Normalization,vilexnorm,
Natural,VISTEC-TP-TH-21,https://github.com/mrpeerat/OSKut/tree/main/VISTEC-TP-TH-2021,tha,Named Entity Recognition,vistec_tp_th_21,
Natural,VLSP2020 RelEx,https://docs.google.com/document/d/1082jvKOA6Rx_tkqDhy6DZORUXqeaiSWz/edit,vie,Relation Extraction,vlsp2020_relex,
Natural,Wongnai Reviews,https://github.com/wongnai/wongnai-corpus,tha,Text Classification,wongnai_reviews,
Natural,Yunshan-Cup-2020 Lao POS,https://github.com/GKLMIP/Yunshan-Cup-2020,lao,POS Tagging,yunshan_cup_2020,Train
Natural,Sundanese-Indonesian Parallel Corpus,https://dataverse.telkomuniversity.ac.id/dataset.xhtml?persistentId=doi:10.34820/FK2/HDYWXW,sun,Machine Translation,parallel_su_id,
Natural,myParaphrase,https://github.com/ye-kyaw-thu/myParaphrase,mya,Paraphrasing,my_paraphrase,
Natural,MABL,https://github.com/simran-khanuja/Multilingual-Fig-QA,"ind,jav,sun",Question Answering,mabl,
Human-translated,Korpus Nusantara,https://github.com/herrysujaini/korpusnusantara/blob/main/korpus%20nusantara.xlsx,"jav,sun",Machine Translation,korpus_nusantara,Test
Human-translated,NusaTranslation MT,https://github.com/IndoNLP/nusa-writes/tree/main/data,"jav,sun",Machine Translation,nusatranslation_mt,Test
Human-translated,NusaX MT,https://github.com/IndoNLP/nusax,"jav,sun",Machine Translation,nusax_mt,Train
Human-translated,Sundanese-Indonesian Parallel Corpus,https://dataverse.telkomuniversity.ac.id/dataset.xhtml?persistentId=doi:10.34820/FK2/HDYWXW,ind,Machine Translation,parallel_su_id,
Human-translated,XCOPA,https://github.com/cambridgeltl/xcopa,"tha,vie,ind",Commonsense Reasoning,xcopa,Train
Human-translated,TICO-19,https://tico-19.github.io/testset.html,"ind,khm,zsm,mya,tgl",Machine Translation,tico_19,
Human-translated,Belebele,https://github.com/facebookresearch/belebele,"ceb,ind,jav,khm,lao,mya,sun,tgl,tha,vie,zsm",Question Answering,belebele,Test
Human-translated,Asian Language Treebank Parallel Corpus,https://www2.nict.go.jp/astrec-att/member/mutiyama/ALT/,"khm,lao,mya,ind,tgl,zsm,tha,vie",Machine Translation,parallel_asian_treebank,Test
Human-translated,EMoTES-3K,https://huggingface.co/datasets/NLPinas/EMoTES-3K,eng,Commonsense Reasoning,emotes_3k,Test
Human-translated,IndoCamRest,https://github.com/dehanalkautsar/IndoToD/tree/main/IndoCamRest,ind,Dialogue System,indocamrest,
Human-translated,Indonesian religious domain MT En-Id,https://github.com/gunnxx/indonesian-mt-data/tree/master/religious,ind,Machine Translation,indo_religious_mt_en_id,
Human-translated,IndoSMD,https://github.com/dehanalkautsar/IndoToD/tree/main/IndoSMD,ind,Dialogue System,indosmd,
Human-translated,IndQNER,https://github.com/RiaGusmita/IndQNER/tree/master/datasets,ind,Named Entiy Recognition,indqner,
Human-translated,Khmer ALT POS,https://www2.nict.go.jp/astrec-att/member/mutiyama/ALT/km-nova-181101.zip,khm,POS Tagging,khmer_alt_pos,Test
Human-translated,MASSIVE,https://github.com/alexa/massive,"ind,jav,khm,zsm,mya,tha,tgl,vie","Slot Filling
Intent Classification",massive,
Human-translated,Mozilla Pontoon Translations,https://huggingface.co/datasets/ayymen/Pontoon-Translations,"mya,ceb,ind,jav,khm,lao,zsm,tgl,tha,vie",Machine Translation,mozilla_pontoon,Train
Human-translated,NTREX-128,https://github.com/MicrosoftTranslator/NTREX,"mya,tgl,ind,khm,lao,zsm,tha,vie",Machine Translation,ntrex_128,Train
Human-translated,PhoATIS,https://github.com/VinAIResearch/JointIDSF,vie,"Slot Filling
Intent Classification",phoatis,
Human-translated,Software Documentation Data Set for Machine Translation,https://github.com/SAP/software-documentation-data-set-for-machine-translation,"ind,zsm,tha,vie",Machine Translation,sap_wat,
Human-translated,Tatoeba,https://tatoeba.org,"ind,vie,tgl,jav,tha,eng",Machine Translation,tatoeba,Train
Human-translated,XQuAD,https://github.com/google-deepmind/xquad,"tha,vie",Question Answering,xquad,
Human-translated,XStoryCloze,https://huggingface.co/datasets/juletxara/xstory_cloze,"ind,mya",Commonsense Reasoning,xstorycloze,
Human-translated,XNLI,https://github.com/facebookresearch/XNLI,"tha,vie",Natural Language Inference,xnli,